"zoc","01coin"
"mlr","mega-lottery-services-global"
"megarise","megarise"
"msz","megashibazilla"
"mgt","megatech"
"mega","megatoken"
"$weapon","megaweapon"
"MGD","megla-doge"
"meka","meka"
"lfgo","mekka-froggo"
"mel","melalie"
"meld","meland-ai"
"mcau","meld-gold"
"meli","meli-games"
"meliodas","meliodas"
"mora","meliora"
"mello","mello-token"
"meld","melodity"
"melody","melody"
"mln","melon"
"mhsp","melonheadsprotocol"
"$mlnx","melonx"
"melo","melo-token"
"mbn","membrana-platform"
"mch","meme-cash"
"memes","meme-chain-capital"
"mem","memecoin"
"factory","memecoin-factory"
"mcu","memecoinuniverse"
"memedoge","meme-doge-coin"
"mflate","memeflate"
"mfund","memefund"
"mgames","meme-games"
"meme","meme-inu"
"kill","memekiller"
"$lordz","meme-lordz"
"meme20","meme-ltd"
"mnft","memenft"
"mnop","memenopoly-money"
"mepad","memepad"
"meme","memetic"
"mwar","memewars"
"memex","memex"
"mpay","menapay"
"one","menlo-one"
"msa","mensa"
"mensa","mensa-protocol"
"meong","meong-token"
"meo","meo-tools"
"mnt","meownaut"
"meow","meowshi"
"meow","meowswap"
"meow","meowswap-token"
"mgold","mercenary"
"mto","merchant-token"
"mrch","merchdao"
"mrcr","mercor-finance"
"mvp","merculet"
"mer","mercurial"
"mer","mercury"
"meri","merebel"
"merge","merge"
"mgc","mergecoin"
"lock","meridian-network"
"mc","merit-circle"
"merkle","merkle-network"
"merl","merlin"
"merd","mermaid"
"mrc","meroechain"
"mes","meschain"
"sefa","mesefa"
"mesh","meshbox"
"meso","meso"
"mta","meta"
"MAP","metaaltpad"
"MAPES","meta-apes"
"audiom","metaaudio"
"mta","metaaxis"
"metabean","metabean"
"mbet","metabet"
"MBIKE","metabike"
"metabc","meta-billionaires-club"
"mage","metabrands"
"brawl","meta-brawl"
"meta","meta-bsc"
"berage","metabullrage"
"mbr","metabullrun"
"mbc","metabusdcoin"
"mcap","meta-capital"
"meta","metacash"
"metacat","metacat"
"mcat","meta-cat"
"meta cloth","meta-cloth"
"mtc","metacoin"
"mct","metacraft"
"metacz","metacz"
"mdl","meta-decentraland"
"meta","metadium"
"metadoge","metadoge"
"metadoge","meta-doge"
"mds","metadogeswap"
"dog$","metadog-racing"
"drace","metadrace"
"mtd","metadress"
"mdb","metadubai"
"fabric","metafabric"
"MFT","metaface"
"metafarm","metafarm-dao"
"mfs","metafashioners"
"mw","metaficial-world"
"mf","metafighter"
"mfi","metafinance"
"mf1","meta_finance"
"fish","metafish"
"metaflip","metaflip"
"mfloki","meta-floki"
"metaflokinu","meta-floki-inu"
"metaflokimg","meta-flokimon-go"
"meto","metafluence"
"metafocus","metafocus"
"mtf","metafootball"
"mgxy","metagalaxy"
"megaland","metagalaxy-land"
"seed","metagame"
"mga","metagame-arena"
"mgh","metagamehub-dao"
"mtgm","metagaming"
"gear","metagear"
"mgchi","metagochi"
"mgod","metagods"
"metagon","metagon"
"META","meta-grow"
"mhg","meta-hangry-games"
"mhc","metahash"
"hero","metahero"
"metainu","meta-inu"
"meta","meta-inu-token"
"igo","meta-islands"
"mtk","metakings"
"MetaKnight","meta-knight"
"kombat","metakombat"
"mtl","metal"
"LAMA","metalama"
"meta","metaland-dao"
"mst","metaland-gameverse"
"mly","meta-land-yield"
"mbmx","metal-backed-money"
"metal","meta-legends"
"mtlmc3","metal-music-coin"
"mlt","metaloop-tech"
"mpt","metal-packaging-token"
"xmt","metalswap"
"metam","metamars"
"mtx","metamatrix"
"MONSTA","meta-monstas"
"MetaMoon","metamoon"
"metm","metamorph"
"mount","metamounts"
"mmui","metamui"
"META","meta-musk"
"mvrs","meta-mvrs"
"mena","metanations"
"metania","metaniagames"
"metx","metanyx"
"mpd","metapad"
"mpay","metapay"
"metapets","metapets"
"mp","meta-pets"
"mpc","metaplace"
"mpl","metaplanet"
"mplay","metaplay"
"fps","metaplayers-gg"
"mpool","metapool"
"metaportal","metaportal"
"metap","metapplay"
"metar","metaraca"
"mrs","metaracers"
"meta","metarcade"
"power","metareserve"
"metasfm","metasafemoon"
"metas","metaseer"
"shell","metashells"
"METASHIB","metashiba"
"mshiba","meta-shiba"
"meshi","meta-shiba-bsc"
"metashib","metashib-token"
"shield","meta-shield"
"msu","metasoccer"
"msd","metasoldier"
"mspace","metaspace"
"mreit","metaspace-reit"
"spat","meta-spatial"
"metastar","metastar"
"mts","metastrike"
"msg","metasurvivor"
"mtown","metatown"
"metauniverse","metauniverse"
"metavegas","metavegas"
"mvrs","metaverseair"
"MVC","metaverse-capital"
"mdao","metaverse-dao"
"$MVDOGE","metaverse-doge"
"dna","metaverse-dualchain-network-architecture"
"etp","metaverse-etp"
"metacex","metaverse-exchange"
"mefa","metaverse-face"
"mvi","metaverse-index"
"metai","metaverse-index-token"
"META","metaverse-miner"
"PLAY","metaverse-nft-index"
"meta","metaversepro"
"metax","metaversex"
"metavs","metaversus"
"mesa","metavisa"
"metav","metavpad"
"wars","metawars"
"mwbtc","metawhale-btc"
"MWG","metawhale-gold"
"MW","metaworld"
"metaworld","meta-world"
"MTW","meta-world-game"
"mexi","metaxiz"
"mxy","metaxy"
"mz","metazilla"
"mez","metazoon-token"
"meta","metazuckzilla"
"meteor","meteorite-network"
"mre","meteor-remnants-essence"
"mtrg","meter"
"eMTRG","meter-governance-mapped-by-meter-io"
"mtr","meter-stable"
"mthd","method-fi"
"mts","metis"
"mrise","metisrise"
"metis","metis-token"
"meto","metoshi"
"metric","metric-exchange"
"met","metronome"
"mtlx","mettalex"
"metti","metti-inu"
"MEW","mew-inu"
"mewn","mewn-inu"
"mewtwo","mewtwo-inu"
"mex","mex"
"mexc","mexc-token"
"mgc","mgc-token"
"mgoat","mgoat"
"mgs","mg-social"
"miami","miami"
"mia","miamicoin"
"miami","miami-land"
"miaw","miaw-token"
"mib","mib-coin"
"mbc","microbitcoin"
"mbtc","micro-bitcoin-finance"
"mcc","microcoin"
"micro","microdexwallet"
"mgp","micro-gaming-protocol"
"micro","micromines"
"amm","micromoney"
"pets","micropets"
"MicroSanta","micro-santa-coin"
"microshib","microshiba"
"TICK","microtick"
"mct","microtuber"
"midas","midas"
"crown","midasdao"
"mdo","midas-dollar"
"mdg","midas-gold"
"mas","midas-protocol"
"mig","migranet"
"miks","miks-coin"
"mvc","mileverse"
"milf","milf-finance"
"mil","military-finance"
"milit","militia-games"
"milk","milk2"
"mlk","milk-alliance"
"mb","milk-and-butter"
"milk","milkshakeswap"
"milk","milk-token"
"milky","milky-token"
"milky","milkywayex"
"mclb","millenniumclub"
"mm","millimeter"
"mm","million"
"million","millionaire-maker"
"MIMO","million-monke"
"milli","millionsy"
"mfc","millonarios-fc-fan-token"
"swarm","mim"
"mimas","mimas"
"mimatic","mimatic"
"mwc","mimblewimblecoin"
"mimir","mimir-token"
"mimo","mimo-parallel-governance-token"
"mimo","mimosa"
"mina","mina-protocol"
"mnc","mincoin"
"mdc","mindcell"
"mnd","mindcoin"
"micn","mindexnew"
"$wood","mindfolk-wood"
"mnd","mind-music"
"min","mindol"
"minds","minds"
"mai","mindsync"
"mb","minebee"
"mcr","minecrypto"
"mnet","mine-network"
"mnr","mineral"
"mne","minereum"
"mg","minergate-token"
"miners","minersdefi"
"miva","minerva-wallet"
"dar","mines-of-dalarnia"
"mnm","mineum"
"mini","mini"
"MBBY","minibaby"
"minibabydoge","mini-baby-doge"
"mbtc","minibitcoin"
"minibnb","minibnb"
"minibtc","minibtc"
"mada","mini-cardano"
"minidoge","minidoge"
"minidogepro","mini-doge-pro"
"MiniFloki","mini-floki"
"mflokiada","miniflokiada"
"minifootball","minifootball"
"MHokk","minihokk"
"mollydoge star","mini-hollywood-doge"
"minikishimoto","minikishimoto-inu"
"MINIKISHU","minikishu"
"mms","minimals"
"minime","mini-metis"
"miniMONGOOSE","mini-mongoose"
"minisaitama","mini-saitama"
"mshib","mini-shib"
"minishiba","mini-shiba"
"minishib","minishib-eth"
"minishib","minishib-token"
"minisoccer","minisoccer"
"minisports","minisports-token"
"minisportz","minisportzilla"
"Thunder","minithunder"
"minitiger","mini-tiger"
"miniusdc","miniusdc"
"MNX","minix"
"myak","miniyak"
"max","minmax"
"MINO","minotaur"
"mint","mint-asset"
"mint","mint-club"
"mint","mintcoin"
"mint","mintea"
"hub","minter-hub"
"btcmt","minto"
"mint","mintswap"
"mintys","mintyswap"
"mirai","mirai-token"
"mql","miraqle"
"miro","mirocana"
"mabnb","mirrored-airbnb"
"mbaba","mirrored-alibaba"
"mamzn","mirrored-amazon"
"mamc","mirrored-amc-entertainment"
"maapl","mirrored-apple"
"mbtc","mirrored-bitcoin"
"mko","mirrored-coca-cola"
"mcoin","mirrored-coinbase"
"meth","mirrored-ether"
"mfb","mirrored-facebook"
"mglxy","mirrored-galaxy-digital-holdings-ltd"
"mgme","mirrored-gamestop"
"mgs","mirrored-goldman-sachs"
"mgoogl","mirrored-google"
"mqqq","mirrored-invesco-qqq-trust"
"miau","mirrored-ishares-gold-trust"
"mslv","mirrored-ishares-silver-trust"
"mjnj","mirrored-johnson-johnson"
"mmsft","mirrored-microsoft"
"mnflx","mirrored-netflix"
"mnio","mirrored-nio"
"mnvda","mirrored-nvidia"
"mpypl","mirrored-paypal"
"mhood","mirrored-robinhood-markets"
"mspy","mirrored-spdr-s-p-500"
"msq","mirrored-square"
"msbux","mirrored-starbucks"
"mtsla","mirrored-tesla"
"mtwtr","mirrored-twitter"
"muso","mirrored-united-states-oil-fund"
"mamd","mirror-mamd-token"
"markk","mirror-markk-token"
"mdot","mirror-mdot-token"
"mir","mirror-protocol"
"mw","mirror-world-token"
"msb","misbloc"
"mishka","mishka-token"
"ME","missedeverything"
"helios","mission-helios"
"mist","mist"
"mistel","mistel-finance"
"mist","mistswap"
"misty","misty-inu"
"mith","mithril"
"mis","mithril-share"
"mithril","mithrilverse"
"mitten","mittens"
"xin","mixin"
"mix","mixmarvel"
"some","mixsome"
"mxt","mixtrust"
"mxf","mixty-finance"
"miyazaki","miyazaki-inu"
"mzr","mizar"
"mjewel","mjewel"
"mkitty","mkitty"
"mkrethdoom","mkreth-1x-short"
"mch","mktcash"
"mlm","mktcoin"
"MMA","mmacoin"
"mmaon","mmaon"
"mmf","mmfinance"
"mmm7","mmmluckup7"
"mmo","mmocoin"
"mcash","mms-cash"
"mmsc","mms-coin"
"mm","mm-token"
"mnmc","mnmcoin"
"mptc","mnpostree"
"moar","moar"
"mbx","mobiecoin"
"mofi","mobifi"
"mob","mobilecoin"
"mcpc","mobile-crypto-pay-coin"
"mgo","mobilego"
"mbn","mobilian-coin"
"molk","mobilink-coin"
"mob","mob-inu"
"mbgl","mobit-global"
"mobi","mobius"
"mot","mobius-finance"
"mobi","mobius-money"
"mbox","mobox"
"wot","moby-dick"
"mochi","mochi-inu"
"moma","mochi-market"
"mcm","mochimo"
"mochi","mochiswap"
"mok","mocktailswap"
"moda","moda-dao"
"mod","modefi"
"modx","model-x-coin"
"modic","modern-investment-coin"
"modex","modex"
"aim","modihost"
"mobi","moebius"
"mda","moeda-loyalty-points"
"mogx","mogu"
"stars","mogul-productions"
"mjt","mojitoswap"
"mojo","mojocoin"
"MOJOV2","mojo-v2"
"mof","molecular-future"
"momat","moma-protocol"
"momento","momento"
"mmt","moments"
"XMM","momentum"
"mtm","momentum-token"
"mmon","mommon"
"mommydoge","mommy-doge"
"mommyusdt","mommyusdt"
"key","momo-key"
"momo","momo-protocol"
"momo","momoshiba"
"mona","mona"
"mona","monacoin"
"mona","monavale"
"mndcc","mondo-community-coin"
"xmr","monero"
"xmc","monero-classic-xmc"
"xmv","monerov"
"moneta","moneta"
"mue","monetaryunit"
"mntg","monetas"
"mcn","moneta-verde"
"mth","monetha"
"bips","moneybrain-bips"
"mon","moneybyte"
"msd","moneydefiswap"
"myh","moneyhero"
"mnc","moneynet"
"party","money-party"
"moneyrain","moneyrain-finance"
"mswap","moneyswap"
"imt","moneytoken"
"money","moneytree"
"mon","monfter"
"mongocm","mongo-coin"
"mongoose","mongoose"
"mongoose","mongoosecoin"
"mowa","moniwar"
"monk","monk"
"mbs","monkeyball"
"MCG","monkey-claus-game"
"mns","monnos"
"Mononoke-Inu","mononoke-inu"
"mono","monox"
"mcash","monsoon-finance"
"mspc","monspac"
"moni","monsta-infinite"
"monstr","monstaverse"
"mat","monster-adventure-token"
"mbs","monster-battle"
"mss","monster-cash-share"
"ggm","monster-galaxy"
"mgpx","monster-grand-prix-token"
"monx","monster-of-god"
"mqst","monsterquest"
"mons","monsters-clan"
"ms","monster-slayer"
"monster","monster-valley"
"moochii","moochii"
"mla","moola"
"mcelo","moola-celo-atoken"
"mcusd","moola-celo-dollars"
"moo","moola-market"
"moo","moomonster"
"moon","moon"
"mooi","moonai"
"Moonarch","moonarch"
"Moonbase","mbbased"
"Moonbeam","glmr"
"MoonBeans","beans"
"MoonBear.Finance","mbf"
"MoonBeers","beers"
"MoonBet","mbet"
"Moonbird","mbird"
"MoonBoobs","boobs"
"MoonCake","moon"
"MOONCAT Vault (NFTX)","mooncat"
"Mooncoin","moon"
"MoonDao","md"
"MoonEdge","mooned"
"Moonery","mnry"
"Moon DAO","mooney"
"MoonFarmer","mfm"
"MoonFarm Finance","mfo"
"Moongame","mgt"
"Mooni","mooni"
"MoonieNFT","mny"
"Moonka","mka"
"MoonKat Finance","mkat"
"MoonLana","mola"
"Moonlift Capital","mltpx"
"Moon Light Night","mlnt"
"Moonlight Token","moonlight"
"Moon Maker Protocol","mmp"
"MoonMiner","moonminer"
"Moon Nation Game","mng"
"MoonPaw","moonpaw"
"Moonpoly","cmp"
"Moonpot","pots"
"MoonPump","pump"
"Moon Rabbit","aaa"
"Moonradar Finance","mrf"
"MoonRetriever","FETCH"
"MoonRise","moonrise"
"Moonriver","movr"
"MoonRock","rock"
"Moon Rocket Coin","mrc"
"Moon Sack","sack"
"Moonscape","mscp"
"MoonsDust","moond"
"Moonshot","moonshot"
"MoonShot Max","msm"
"Moonshots Farm","BONES"
"MoonStar","moonstar"
"MoonstaRevenge Token","MTR"
"MoonStarter","mnst"
"Moon Stop","mnstp"
"MoonSwap","moon"
"MoonTimer","mtg"
"MoonToken","moontoken"
"Moon","moon"
"MoonTools","moons"
"MoonTrust","mntt"
"MoonTrustBSC","mnttbsc"
"Moon Warriors","mwar"
"MoonWay","moonway"
"MoonWilly","moonwilly"
"moonwolf.io","wolf"
"Morality","mo"
"Morcilla War","mor"
"MORK","mork"
"Morpher","mph"
"Morpheus Labs","mitx"
"Morpheus Network","mnw"
"Morpheus Swap","pills"
"Morphie","mrfi"
"MORPH Vault (NFTX)","morph"
"Mor Stablecoin","mor"
"Moss Carbon Credit","mco2"
"Mossland","moc"
"MosterIsland","mi"
"MoTA","mgot"
"MotaCoin","mota"
"Motel Crypto","motel"
"Mother Earth","mot"
"Mother of Memes","mom"
"Mothership","msp"
"MotionWreck Games","mwg"
"MOTIV Protocol","mov"
"Motocoin","moto"
"Mound Token","mnd"
"MouseMN","mouse"
"MOUSECOIN","mic3"
"Mouse Haunt","mht"
"MousePad","mpad"
"MOVE Network","movd"
"MovieBloc","mbl"
"Movie Magic","mvm"
"Mozik","moz"
"MozoX","mozox"
"MP3","mp3"
"MP4","mp4"
"Mr Burns Token","burns"
"Mr.FOX Token","mrfox"
"MRV","mrv"
"MrWeb Finance","ama"
"Ms Moona Rewards","moona"
"MSN","msn"
"Marinade staked SOL","msol"
"mStable BTC","mbtc"
"MTI Finance","mti"
"Mt Pelerin Shares","mps"
"MTTCoin","mttcoin"
"MTVX","MTVX"
"Mu Continent","mu"
"MU DANK","dank"
"MUD Guild Game","mgg"
"Mulierum","diva"
"Multichain","multi"
"Multi-Chain Capital [OLD]","mcc"
"Multi-Chain Capital","mcc"
"Multi-Farm Capital","mfc"
"Multigame","multi"
"MultiGenCapital","mgc"
"MultiPad","mpad"
"MultiPlanetary Inus","inus"
"Multiplier","mxx"
"Multiplier (BSC)","bmxx"
"Multi-Stake Capital","msc"
"MultiStarter","mstart"
"MultiVAC","mtv"
"Multiverse","ai"
"Multiverse Capital","mvc"
"Munch Token","munch"
"MURPHYCAT","murphy"
"Musashi Finance","mus"
"mStable USD","musd"
"Muse DAO","muse"
"Museo","mse"
"Museum of Crypto Art","moca"
"Mushroom","mush"
"Mushu Finance","mushu"
"Musk","musk"
"Musk Doge","mkd"
"MUSK Gold","musk"
"Musk Metaverse","metamusk"
"MuskSwap","musk"
"MUSO Finance [OLD]","muso"
"MUSO Finance","muso"
"Must","must"
"Mute","mute"
"Muzible","muzz"
"Muzika Network","mzk"
"MVP","mvp"
"MvPad","mvd"
"MVP Coin","mvp"
"MVS Multiverse","mvs"
"MXC","mxc"
"MX Token","mx"
"MyBit Token","myb"
"MyBricks","bricks"
"MYCE","yce"
"MY Ceremonial Event","myce"
"Mycro","myo"
"My DeFi Legends","dlegends"
"My DeFi Pet","dpet"
"My Farm Pet","myfarmpet"
"MyFriends","myfriends"
"My Identity Coin","myid"
"MYKEY","key"
"Mylivn Coin","mlvc"
"My Lotto Coin","myl"
"My Master War","mat"
"myMessage","mesa"
"MyMN","mymn"
"My Neighbor Alice","alice"
"My Neighbor Alice (Wormhole)","alice"
"Myobu","myobu"
"My Pandaverse","PANDAVS"
"Myra AI","myra"
"Myriad","xmy"
"My Shiba Academia","msa"
"Mysterium","myst"
"MysticBets","mbt"
"Mystic Warrior","mystic"
"Myteamcoin","myc"
"MyteamFinance","myf"
"Mytheria","myra"
"Myth Token","myth"
"MyToken","mt"
"MyWish","wish"
"MYX Network","myx"
"N1CE","n1ce"
"N3RD Finance","N3RDz"
"Nabox","nabox"
"Nacho Finance","nacho"
"Nadeshiko","ndsk"
"Nafter","naft"
"Nafty","nafty"
"NAGA","ngc"
"NagaSwap","bnw"
"Nahmii","nii"
"Naka Bodhi Token","nbot"
"Nakamoto Games","naka"
"Name Change Token","nct"
"Namecoin","nmc"
"Nami Corporation Token","nami"
"Nami Inu","nami"
"NANJCOIN","nanj"
"Nano","xno"
"Nano Bitcoin Token","nbtc"
"Nano Doge Token","nanodoge"
"Nano Dogecoin","indc"
"NanoMeter Bitcoin","nmbtc"
"Nano Shiba Inu","NanoShiba"
"NanTrade","nan"
"NAOS Finance","naos"
"Napoleon X","npx"
"Napoli Fan Token","NAP"
"Naraka","nt"
"Naruto Inu","NARUTO"
"Nasa Doge","nasadoge"
"Nasdacoin","nsd"
"NASDEX Token","nsdx"
"Native Utility Token","nut"
"Natural Farm Union Protocol","nfup"
"Natus Vincere Fan Token","navi"
"NaughtyDoge","ndoge"
"Nausicaa-Inu","nausicaa"
"Navcoin","nav"
"Navibration","navi"
"Navigator","nttc"
"Naxar","naxar"
"Nayuta Coin","nc"
"Ndau","ndau"
"nDEX","ndx"
"NDN Link","ndn"
"Coineal Token","neal"
"Near","near"
"NearPad","pad"
"Neblio","nebl"
"Nebulas","nas"
"NebulaToken","nebula"
"Nectar","nec"
"Neetcoin","neet"
"NEET Finance","neet"
"Neeva Defi","nva"
"NEFTiPEDiA","nft"
"Neighbourhoods","nht"
"Neko Network","neko"
"Nekonium","nuko"
"NELO Metaverse","nelo"
"NEM","xem"
"Nemesis","NMS"
"Nemesis DAO","nms"
"Nemesis Wealth Projects BSC","nms"
"NEO","neo"
"Neo Holistic Coin","nhc"
"Nash","nex"
"Neos Credits","ncr"
"NeoWorld Cash","nash"
"Neptune","NPTUN"
"Nerdy Inu","nerdy"
"Nerian Network","nerian"
"Nerva","xnv"
"Nerve Finance","nrv"
"NerveFlux","nerve"
"NerveNetwork","nvt"
"Nervos Network","ckb"
"Nest Protocol","nest"
"Nest Egg","negg"
"NestEgg Coin","egg"
"Nestree","egg"
"Netbox Coin","nbx"
"Netcoin","net"
"Netcoincapital","ncc"
"Nether","ntr"
"Netkoin","ntk"
"Netm","ntm"
"Netswap","nett"
"Netvrk","ntvrk"
"Neumark","neu"
"Neural Protocol","nrp"
"NeuroChain","ncc"
"Neuromorphic.io","nmp"
"Neurotoken","ntk"
"Neutrino USD","usdn"
"Neutrino System Base Token","nsbt"
"Nevada","nevada"
"NeverDrop","nd"
"NewB.Farm","newb"
"New BitShares","nbs"
"New Chance","nce"
"Newdex Token","dex"
"New Earth Order Money","neom"
"New Era","nec"
"Newinu","newinu"
"LandBox","land"
"New Order","newo"
"New Origin","noc"
"New Power Coin","npw"
"Newscrypto Coin","nwc"
"Newsolution","nst"
"NewSolution 2.0","nste"
"Newton Coin Project","ncp"
"Newton Project","new"
"New Year Resolution","nyr"
"New Year Token","NYT"
"NewYorkCoin","nyc"
"NewYork Exchange","nye"
"Nexalt","xlt"
"NexDAX","nt"
"NEXO","nexo"
"NextDAO","nax"
"NeXt-DeFi Protocol","nxdf"
"Next Earth","nxtt"
"Nxtech Network","nx"
"NEXT","next"
"Next Level","nxl"
"Next Token","NXT"
"NEXTYPE Finance","nt"
"Nexus","nxs"
"Nexus Protocol","psi"
"Nexus Mutual (Wormhole)","nxm"
"Nexus Token","nexus"
"Nezuko Inu","nezuko"
"Nfans","nfs"
"NFMonsters","nfmon"
"NFracTion","nfta"
"NFTA","nfta"
"NFT Alley","alley"
"NFT Art Finance","nftart"
"NFTASCII","nftascii"
"NFTb","nftb"
"NFTBlackmarket","nbm"
"NFTBomb","nbp"
"NFTBooks","nftbs"
"NFT Champions","champ"
"NFTCircle","nftc"
"NFTDAO","NAO"
"NFTeez","nfteez"
"NftEyez","eye"
"NFTFundArt","nfa"
"Nftfy","nftfy"
"NFT Global Platform","nftg"
"NFTify","n1"
"Nftime","nftm"
"NFTinder","nftndr"
"NFT Index","nfti"
"NFTLaunch","nftl"
"NFTLegends","nfl"
"LootBox.io","loot"
"NFTL Token","nftl"
"NFTmall","gem"
"NFTMania","mania"
"NFTMart Token","nmt"
"NFT MAZE","MAZE"
"NFTMusic.ai","music"
"NFTMUSIC.STREAM","streamer"
"NFTOPIA","nftopia"
"NFTPad","nftpad"
"NFT Platform Index","NFTP"
"NFT Protocol","nft"
"NFTPunk","nftpunk2.0"
"NFTPunk.Finance","nftpunk"
"NFTrade","nftd"
"NFT Royal Token","nrt"
"NFTSocial","nsc"
"NFT SolPad","nftsol"
"NFT Stars","nfts"
"NFT Starter","nst"
"NFTStyle","nftstyle"
"NFTSwaps","swaps"
"NFT Tech","nftt"
"NFT Tone","tone"
"NFT Wars","war"
"NFTWiki","nftk"
"NFT Worlds","wrld"
"NFTX","nftx"
"NFTY Token","nfty"
"NFX Coin","nfxc"
"Ngin","ng"
"nHBTC","nhbtc"
"Nice","nice"
"Nicheman","nicheman"
"Nickel Token","nickel"
"Nico Robin Inu","ROBIN"
"Nidhi Dao","guru"
"Niftify","nift"
"Envelop (Niftsy)","niftsy"
"Nifty League","nftl"
"NiftyNFT","nifty"
"NFTY DeFi Protocol","nfty"
"Night Life Crypto","nlife"
"NiiFi","niifi"
"NIL","nil"
"Nil DAO","nil"
"Nilu","nilu"
"Nimbus","nbu"
"Nimbus Governance Token","gnbu"
"Nimiq","nim"
"Ninja Doge","$ninjadoge"
"Ninja Fantasy Token","nfs"
"Ninja Panda Inu","npi"
"Ninja Protocol","ninja"
"Ninja Squad","nst"
"NinjaSwap","ninja"
"Ninky","ninky"
"Ninneko","nino"
"Nintia Estate","ninti"
"Niobio","nbr"
"Niobium Coin","nbc"
"Niros","niros"
"Nirvana","vana"
"NirvanaMeta","mnu"
"NitroEX","ntx"
"Nitro League","nitro"
"Voice Token","voice"
"NKCL Classic","nkclc"
"NKN","nkn"
"NNB Token","nnb"
"NoahArk","nrk"
"Noah Decentralized State Coin","noahp"
"NOA PLAY","noa"
"Nobility","nbl"
"NobleCoin","nobl"
"Nobo Finance","nobf"
"No Bull","NB"
"Nobunaga","nbng"
"NoCapCoin","ncc"
"Node Cubed","n3"
"Node Runners","ndr"
"Nodeseeds","nds"
"Node Squared","n2"
"Nodestats","ns"
"Nodetrade","mnx"
"Noel Capital","noel"
"No Face Inu","NOFACE"
"NoGoalToken","ino"
"Syntropy","noia"
"Nokencoin","nokn"
"Noku","noku"
"NPC DAO","npc"
"NoleWater","amsk"
"NoLimitCoin","nlc2"
"Nominex","nmx"
"NOMY","nomy"
"Non-Fungible TOKE","toke"
"Non-Fungible Yearn","nfy"
"noob.finance","$noob"
"No One","noone"
"Nora Token","nra"
"Nord Finance","nord"
"Nosana","nos"
"NoShit","nsh"
"Nosta","nosta"
"Nosturis","ntrs"
"NOTA","usnota"
"Notable","nbl"
"Not Another Shit Altcoin","nasa"
"Note Blockchain","ntbc"
"Nothing","nada"
"Notional Finance","note"
"Not Much","nm"
"NotSafeMoon","notsafemoon"
"NOVA","nova"
"Novacoin","nvc"
"Nova Finance","nova"
"Nova Token","nbk"
"Novara Calcio Fan Token","nov"
"NovaXCrystal","xcrs"
"NovaXMetal","xmtl"
"NovaXSolar","xslr"
"Novo Token","novo"
"Nowlage Coin","nac"
"NPCcoin","npc"
"NPO Coin","npo"
"NRGY Defi","nrgy"
"NSHARE","nshare"
"nSights","nsi"
"NSS Coin","nss"
"NSUR Coin","nsur"
"Nsure Network","nsure"
"nYFI","n0031"
"NuBits","usnbt"
"Nucleus","nucleus"
"Nucleus Vision","ncash"
"Nuco.Cloud","ncdt"
"NuCypher","nu"
"Nuke Token","nuke"
"Nuls","nuls"
"Num ARS","nuars"
"Number 1 Token","nr1"
"Numbers Protocol","num"
"Numeraire","nmr"
"Nuna","nuna"
"NuNet","ntx"
"sUSD","susd"
"nUSD (HotBit)","nusd"
"NuShares","nsr"
"NUTS Gaming","nutsg"
"Nuvo Cash","nuvo"
"NvirWorld","nvir"
"NVL Project","nvl"
"Nexus Mutual","nxm"
"NXT","nxt"
"NCAT Token","ncat"
"Nyantereum International","nyante"
"Nyan V2","nyan-2"
"Nydronia","nia"
"Nyerium","nyex"
"Nyx Token","nyxt"
"Nyzo","nyzo"
"NZD Stablecoin","nzds"
"O2OX","o2ox"
"O3 Swap","o3"
"OASIS","xos"
"Oasis City","osc"
"Oasis Network","rose"
"OBIC","obic"
"Obortech","obot"
"OBRok","obrok"
"OBSERVER Coin","obsr"
"Obsidium","obs"
"OBToken","obt"
"OccamFi","occ"
"OceanEX Token","oce"
"Ocean Protocol","ocean"
"OC Protocol","ocp"
"OCRA","ocra"
"Octafarm","octf"
"Octane Protocol Token","octane"
"OctaPay","octa"
"Octaplex Network","plx"
"Octaverse Games","ovg"
"OctaX","octax"
"Oction","octi"
"Octocoin","888"
"OctoFi","octo"
"Octopus Network","oct"
"Octopus Protocol","ops"
"Octree","oct"
"Octree Finance","oak"
"Oculus Vision","OCV"
"Oddz","oddz"
"ODEM","ode"
"OdinDAO","odin"
"Odin Platform","odn"
"Odin Protocol","odin"
"Oduwa Coin","owc"
"Odyssey","ocn"
"OEC AUCTION","auctionk"
"OEC BCH","bchk"
"OEC Binance Coin","BNB"
"OEC BTC","btck"
"OEC Chainlink","linkk"
"OEC DAI","daik"
"OEC DOT","dotk"
"OEC ETC","etck"
"OEC ETH","ethk"
"OEC FIL","filk"
"OEC KINE","kinek"
"OEC LTC","ltck"
"OEC SFG","sfgk"
"OEC SHIB","shibk"
"OEC SUSHI","sushik"
"OEC Token","okt"
"OEC Tron","trxk"
"OEC UNI","unik"
"OEC XRP","xrpk"
"OEC ZKS","zksk"
"Official Crypto Cowboy Token","occt"
"Offshift","xft"
"OFI.cash","ofi"
"Ogcnode","org"
"OG Fan Token","og"
"Oh! Finance","oh"
"Ohmcoin","ohmc"
"Ohm Inu DAO","AVohminu"
"Oikos","oks"
"OILage","oil"
"Oiler","oil"
"OIN Finance","oin"
"Oink Token","oink"
"OIOCoin","oioc"
"Ojamu","oja"
"Oje Token","oje"
"OKB","okb"
"OKBoomer","okboomer"
"OKCash","ok"
"Okex Fly","okfly"
